What are the NNTs for anticonvulsants in neuropathic pain?	Card 1	(2015-09-30)	Palliative Care SCE
In the community, in non-catheterised women, three symptoms independently predict UTI: 1. {{c1::cloudy urine}} 2. {{c2::dysuria}} 3. {{c3::recent-onset nocturia}}	Cloze 3	2015-11-12	Palliative Care SCE
In patients with C. difficile who do not respond to vancomycin, consider {{c1::fidaxomicin}}.	Cloze 1	2015-11-12	Palliative Care SCE
In {{c1::prostate cancer}} treated with androgen deprivation treatment, bisphosphonates {{c2::reduce the rate of bone loss}}.	Cloze 1	2015-11-12	Palliative Care SCE
{{c2::Acute systemic inflammatory reactions causing symptoms}} (arthralgia, fever, myalgia, nausea, vomiting) occur in {{c1::25%}} of patients who have {{c3::IV bisphosphonates}}.	Cloze 1	2015-11-12	Palliative Care SCE
Steroid-induced diabetes occurs in {{c1::~10%}} of patients who start corticosteroids.	Cloze 1	2015-11-12	Palliative Care SCE
{{c1::Octreotide}} is recommended first-line for severe {{c2::chemotherapy/radiotherapy-induced}} diarrhoea.	Cloze 2	2015-11-12	Palliative Care SCE
Severe chemotherapy/radiotherapy-related diarrhoea is defined as: 1. {{c1::>7 stools/day over baseline}} 2. {{c2::Hospital admission}} 3. {{c3::IV fluids}}	Cloze 1	2015-11-12	Palliative Care SCE
The adverse effects of megesterol acetate are {{c1::oedema}}, {{c2::VTE}} and {{c3::death}}.	Cloze 2	2015-11-12	Palliative Care SCE
Thalidomide is associated with: 1. {{c1::Arrhythmia}} 2. {{c2::Oedema}} 3. {{c3::Hypotension}}	Cloze 3	2015-11-12	Palliative Care SCE
Severe skin reactions, such as {{c1::Stevens-Johnson syndrome and toxic epidermal necrolysis}} may occur with {{c2::thalidomide}}.	Cloze 2	2015-11-12	Palliative Care SCE
Peripheral neuropathy is graded: 1. {{c1::No}} loss of function 2. {{c2::Interfering with}} function, but not with {{c2::activities of daily living}} 3. {{c3::Interfering}} with ADLs 4. {{c4::Disabling}}	Cloze 1	2015-11-12	Palliative Care SCE
Dantroline acts directly on {{c1::skeletal muscles}} by binding to {{c2::ryanodine}} receptors.	Cloze 2	2015-11-12	Palliative Care SCE
Tizanadine is a {{c1::central alpha-2 agonist}} in the CNS at {{c2::supraspinal and spinal}} levels.	Cloze 1	2015-11-12	Palliative Care SCE
Benzodiazepines increase the risk of car accidents by {{c1::60-80%}}.	Cloze 1	2015-11-12	Palliative Care SCE
What happens to the serum concentration of fentanyl when carbamazapine is given?	Card 1	2015-11-12	Palliative Care SCE
What % of patients treated long-term with antipsychotics develop parkinsonism?	Card 1	2015-11-12	Palliative Care SCE
The diagnosis of cancer-cachexia is any of the following: 1. Weight loss >{{c1::5}}% over the past {{c1::6}} months 2. BMI <{{c2::20}} and weight loss of >{{c2::2}}% 3. {{c3::Sarcopenia}} and weight loss >{{c4::2}}%	Cloze 4	2015-11-12	Palliative Care SCE
If a patient is leaving/entering the UK for <3 months and carrying <3 months supply of Schedule {{c1::5}} drugs, a letter from the prescriber is {{c2::advised}}, but not {{c2::required}}.	Cloze 2	2015-11-12	Palliative Care SCE
The possible protective factors for suicide include: - {{c1::Social support}} - {{c2::Religious belief}} - {{c3::Being responsible for children}}	Cloze 2	2015-11-12	Palliative Care SCE
A patient with lung cancer reports skin tags and darkening of the axilla:  701_2.jpg  What is this?	Card 1	2015-11-12	Palliative Care SCE
CK in polymyositis?	Card 1	2015-11-12	Palliative Care SCE
A patient with pancreatic cancer reports flushing and diarrhoea.  What is the likely paraneoplastic syndrome?	Card 1	2015-11-12	Palliative Care SCE
A patient with small-cell lung cancer reports increased weight and headaches. A recent MRI scan shows no known brain metastases. Their blood pressure is 220/120.    What is the likely paraneoplastic syndrome?	Card 1	2015-11-12	Palliative Care SCE
A muscle biopsy report comes back from one of your patients with non-Hogkins lymphoma, who has been complaining of a facial rash, and difficulty walking up the stairs. The report says:   Microscopic findings:  - A mixed B- and T-cell perivascular inflammatory infiltrate - Perifascicular muscle fiber atrophy   What is the likely paraneoplastic syndrome?	Card 1	2015-11-12	Palliative Care SCE
A man with a squamous cell carcinoma of the pharynx reports dry skin on his ear. On examination, you see this:  img0066.jpg  He also has a rash which looks psoriatic in nature. What is the likely paraneoplastic syndrome?	Card 1	2015-11-12	Palliative Care SCE
Dermatomyositis is a paraneoplastic disease which is associated with the following cancers: - {{c1::Lung}} - {{c2::Breast}} - {{c3::Ovarian}} - {{c4::pancreas}} - {{c5::stomach}} - {{c6::colorectal}} - {{c7::NHL}}	Cloze 6	2015-11-12	Palliative Care SCE
Dermatomyositis is a paraneoplastic disease which is associated with the following cancers: - {{c1::Lung}} - {{c2::Breast}} - {{c3::Ovarian}} - {{c4::pancreas}} - {{c5::stomach}} - {{c6::colorectal}} - {{c7::NHL}}	Cloze 7	2015-11-12	Palliative Care SCE
What is there a risk of with starting clozapine?	Card 1	2015-11-12	Palliative Care SCE
{{c1::1}}% of people who start clozapine have {{c2::agranulocytosis}}.	Cloze 1	2015-11-12	Palliative Care SCE
According to NICE, the management of oscillopsia in MS is: 1st line: {{c1::Gabapentin}} 2nd line: {{c2::Memantadine}}	Cloze 1	2015-11-12	Palliative Care SCE
General Rx of SOB	Card 1	(2015-11-13)	Palliative Care SCE
Rx of chronic cough	Card 1	(2015-11-13)	Palliative Care SCE
What are the reversible causes of N+V and how are they treated?	Card 1	(2015-11-13)	Palliative Care SCE
Prognosis of cord compression	Card 1	2015-11-13	Palliative Care SCE
What % of cases of malignant hypercalcaemia are due to skeletal metastases?	Card 1	2015-11-13	Palliative Care SCE
Rx of delirium	Card 1	2015-11-13	Palliative Care SCE
What is Mirtazapine used for?	Card 1	2015-11-13	Palliative Care SCE
What are the contraindications for ketamine?	Card 1	2015-11-13	Palliative Care SCE
What is Deontology?	Card 1	2015-11-13	Palliative Care SCE
A patient with a neuromuscular disorder was referred for urodynamic studies for investigation of their urinary incontinence. The report of the study showed impaired bladder storage. According to NICE 'Urinary incontinence in neurological disease (2012)', what pharmacological treatment should be considered?	Card 1	2015-11-13	Palliative Care SCE
According to Urinary incontinence in neurological disease (2012), NICE, when should augmentation cystoscopy be considered?	Card 1	2015-11-13	Palliative Care SCE
According to Cochrane Reviews, what is the effect of NIV on MND?	Card 1	2015-11-13	Palliative Care SCE
What is the effect on mortality of corticosteroids in the treatment of malignant bowel obstruction (gynae and GI)?	Card 1	2015-11-13	Palliative Care SCE
What is the level of evidence for TENS in cancer pain?	Card 1	2015-11-13	Palliative Care SCE
What is the level of evidence for acupuncture in breathlessness?	Card 1	2015-11-13	Palliative Care SCE
If a person has lost consciousness once, and is found to be of a CVS origin, what is the effect on their licence to drive?	Card 1	2015-11-13	Palliative Care SCE
What is the mode of action of melatonin?	Card 1	2015-11-13	Palliative Care SCE
What is the NICE guidance for the use of rivaroxaban?	Card 1	2015-11-13	Palliative Care SCE
Which chemotherapies is there a risk of peripheral neuropathy?	Card 1	2015-11-13	Palliative Care SCE
In Parkinson's disease, {{c1::Psychotic symptoms}} are potentially triggered by {{c2::anti-Parkinsonian medication}}, especially {{c3::rotigitine}} and {{c4::apomorphine}}.	Cloze 2	2015-11-13	Palliative Care SCE
Baclofen withdrawal syndrome can include symptoms similar to {{c1::neuroleptic malignant syndrome}} and {{c3::perceptual disturbance (hallucinations, delirium, confusion)}}, in the context of {{c2::abruptly stopping baclofen}}.	Cloze 1	2015-11-13	Palliative Care SCE
Treatment for left ventricular failure is 1st line {{c1::ACE inhibitor or ARB if ACE-i intolerant}}.  2nd line {{c2::spironolactone}} (especially if {{c3::NYHF III/IV in the past month}}), {{c4::eplenerone}}, {{c5::ARB}}, if Afro-caribbean - {{c6::hydralazine}}. 3rd line {{c7::digoxin}} if refractory to 1st or 2nd line treatment, {{c8::cardioresynchronisation therapy}}.	Cloze 4	2015-11-13	Palliative Care SCE
Which drugs in heart failure improve survival?	Card 1	2015-11-13	Palliative Care SCE
What is the NNT for riluzole to delay death at one year?	Card 1	2015-11-13	Palliative Care SCE
Aim to insert a PEG into patients with MND, before their {{c1::FVC <50%}} or {{c2::aspiration pneumonia}} or {{c3::significant weight loss}}.	Cloze 1	2015-11-13	Palliative Care SCE
A {{c1::register}} is not required of {{c2::Schedule 3, 4, and 5}} drugs.	Cloze 1	2015-11-13	Palliative Care SCE
If a patient with lymphoedema is being managed at home for cellulitis, the first line antibiotic is {{c1::amoxicillin 500mg TDS}}, the second line is {{c2::clindamycin 300mg QDS}}.	Cloze 2	2015-11-13	Palliative Care SCE
If there is a history of animal bite in cellulitis where the patient has lymphoedema, then the first line antibiotic is {{c1::co-amoxiclav 625mg TDS}}. If penicillin-allergic, then {{c3::ciprofloxacin 500mg 12 hourly}}. For a second line, {{c2::discuss with a microbiologist}}	Cloze 1	2015-11-13	Palliative Care SCE
The coeliac plexus innervates the abdominal viscera from the {{c1::bottom of the oesophagus}}, to {{c2::half-way along the transverse colon}}, including the {{c3::liver, pancreas, spleen and kidneys}}.	Cloze 1	2015-11-13	Palliative Care SCE
Mirels’ scoring system is based on four characteristics:  {{c1::(1) site of lesion}} {{c2::(2) nature of lesion, i.e whether it is lytic, blastic or mixed}} {{c3::(3) size of lesion}} {{c4::(4) pain}}.	Cloze 3	2015-11-13	Palliative Care SCE
In patients with malignant pleural effusion, where only {{c1::partial pleural apposition can be achieved}}, {{c2::chemical pleurodesis may still be attempted}} and may provide {{c3::symptomatic relief}}.	Cloze 2	2015-11-13	Palliative Care SCE
Lambert-Eaton syndrome is a {{c1::paraneoplastic syndrome}}. It occurs when antibodies are formed against {{c2::presynaptic}} {{c3::calcium channels}}.	Cloze 2	2015-11-13	Palliative Care SCE
Thoracoscopy is a {{c1::safe procedure}} with {{c2::low complication rates}}.	Cloze 1	2015-11-13	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~16000}} new {{c2::lung cancer}} diagnoses {{c3::in women}} registered in England, in 2012.	Cloze 1	2015-11-13	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~5000}} new {{c2::non-Hodgkins lymphoma}} diagnoses {{c3::in women}} registered in England, in 2012.	Cloze 1	2015-11-13	Palliative Care SCE
According to the Office of National Statistics, there were {{c1::~3000}} new {{c2::renal cancer}} diagnoses {{c3::in women}} registered in England, in 2012.	Cloze 1	2015-11-13	Palliative Care SCE
Amitryptiline is a {{c1::tricyclic antidepressant}} whose mode of action is {{c2::blocking presynaptic re-uptake of serotonin and noradrenaline}}.	Cloze 2	2015-11-13	Palliative Care SCE
For pathological laughter and crying, first line treatment is {{c1::citalopram or sertaline}}.	Cloze 1	2015-11-13	Palliative Care SCE
What is the incidence of gastric perforation with nabumetone?	Card 1	2015-11-13	Palliative Care SCE
The bioavailibility of oral buprenorphine is {{c1::15%}}.	Cloze 1	2015-11-13	Palliative Care SCE
There is a possible relationship between {{c1::skin infections with NSAIDS}} and {{c2::necrotising fascitis}}.	Cloze 2	2015-11-13	Palliative Care SCE
The signs of severe C. difficile infection are: {{c1::T >38.5}} {{c2::HR >100 BPM}} {{c3::WCC >15}} {{c4::Creatinine rising >50% above baseline}} {{c5::Clinical/Radiographical evidence of colitis}}	Cloze 2	2015-11-13	Palliative Care SCE
Bisphosphonates can rarely cause {{c1::ocular toxicity}} with oedema of the rectus muscle.	Cloze 1	2015-11-13	Palliative Care SCE
{{c1::20mg}} hydrocortisone = {{c2::5mg}} prednisolone	Cloze 1	2015-11-13	Palliative Care SCE
{{c1::20mg}} hydrocortisone = {{c2::5mg}} prednisolone	Cloze 2	2015-11-13	Palliative Care SCE
{{c1::5mg}} prednisolone = {{c2::0.75mg}} dexamethasone.	Cloze 2	2015-11-13	Palliative Care SCE
Steroid myopathy generally occurs after {{c1::>2 months}} of treatment.	Cloze 1	2015-11-13	Palliative Care SCE
The diagnosis of SIADH is based on: {{c1::1. Hyponatraemia <130}} {{c2::2. Low plasma osmolality <270}} {{c3::3. High urine osmolality >20}} {{c4::4. Euvolaemic}}	Cloze 1	2015-11-13	Palliative Care SCE
{{c2::Octreotide}} reduces {{c1::splanchnic}} blood flow.	Cloze 1	2015-11-13	Palliative Care SCE
Tamsulosin is a {{c1::uroselective alpha-1-adrenergic receptor antagonist}}.	Cloze 1	2015-11-13	Palliative Care SCE
The emergency treatment of hyperkalaemia: 1. Stop the {{c1::drug causing it}} 2. {{c2::10ml of 10% calcium gluconate IV}} 3. {{c3::Insulin-dextrose solution (10 units of insulin in 50ml of dextrose 50%)}}	Cloze 1	2015-11-13	Palliative Care SCE
The emergency treatment of hyperkalaemia: 1. Stop the {{c1::drug causing it}} 2. {{c2::10ml of 10% calcium gluconate IV}} 3. {{c3::Insulin-dextrose solution (10 units of insulin in 50ml of dextrose 50%)}}	Cloze 3	2015-11-13	Palliative Care SCE
C fibers are {{c1::unmyelinated}}, have a {{c2::small diameter}} and {{c3::low conduction}} velocity.	Cloze 3	2015-11-13	Palliative Care SCE
For capsasin, what is the NNT for pain which is 'much or very much better' in post-herpeic neuralgia at:   A - 8 weeks B - 12 weeks	Card 1	2015-11-13	Palliative Care SCE
Tizanadine is a {{c1::central alpha-2 agonist}} in the CNS at {{c2::supraspinal and spinal}} levels.	Cloze 2	2015-11-13	Palliative Care SCE
Central sleep apnoea is reported to occur in {{c1::30% of patients}} on {{c2::methadone maintainance}}.	Cloze 2	2015-11-13	Palliative Care SCE
To treat acute dystonia caused by antipsychotics: 1. {{c1::Stop, switch or reduce}} the causative drug 2. Immediate relief - {{c2::diazepam 5mg iv}} or {{c2::procyclidine 5-10mg IM}} 3. Follow this with {{c3::orphenadrine 50mg BD}} for one week.	Cloze 1	2015-11-13	Palliative Care SCE
NICE recommends nutritional support for patients with: - BMI <{{c1::18}} - Unintentional weight loss of >{{c2::10%}} in the last {{c2::3-6}} months - BMI <{{c3::20}} and unintentional weight loss of >{{c3::5%}} - Inadequate oral intake for >{{c4::5}} days - {{c5::malabsorption}}, increased {{c5::nutrient}} losses, increased {{c5::catabolism}}.	Cloze 2	2015-11-13	Palliative Care SCE
The possible protective factors for suicide include: - {{c1::Social support}} - {{c2::Religious belief}} - {{c3::Being responsible for children}}	Cloze 1	2015-11-13	Palliative Care SCE
In depression, exposure to the {{c2::suicidal behaviour}} of others, directly or indirectly (i.e. via the media) is a risk for {{c1::suicide}}.	Cloze 2	2015-11-13	Palliative Care SCE
A patient with a bronchial adenoma appears flushed. What other symptom of carcinoid might they report?	Card 1	2015-11-13	Palliative Care SCE
According to NICE, the management of oscillopsia in MS is: 1st line: {{c1::Gabapentin}} 2nd line: {{c2::Memantadine}}	Cloze 2	2015-11-13	Palliative Care SCE
Hx and Rx of neuropathic pain	Card 1	(2015-11-14)	Palliative Care SCE
Pathogenesis of malignant hypercalcaemia	Card 1	2015-11-14	Palliative Care SCE
Features of malignant hypercalcaemia	Card 1	2015-11-14	Palliative Care SCE
According to the Mental Capacity Act 2007, how is capacity defined?	Card 1	2015-11-14	Palliative Care SCE
According to the DPP, what are the public interest factors which trend toward prosecution in assisted suicide?	Card 1	2015-11-14	Palliative Care SCE
What is the definition of 'off-label' drugs?	Card 1	2015-11-14	Palliative Care SCE
What is the definition of an 'unauthorised drug'?	Card 1	2015-11-14	Palliative Care SCE
What is the management of sweating?	Card 1	2015-11-14	Palliative Care SCE
What is the definition of absolute risk reduction?	Card 1	2015-11-14	Palliative Care SCE
What is the survival benefit of dialysis in patients between 70 and 78?	Card 1	2015-11-14	Palliative Care SCE
What is the median survival on stopping dialysis?	Card 1	2015-11-14	Palliative Care SCE
What is the EAPC advice regards opioids in an EGFR below 30?	Card 1	2015-11-14	Palliative Care SCE
What is the normal QT interval?	Card 1	2015-11-14	Palliative Care SCE
What is DIC?	Card 1	2015-11-14	Palliative Care SCE
What is the effect of desmopressin?	Card 1	2015-11-14	Palliative Care SCE
For what period of time would a personal licence be required for controlled drugs?	Card 1	2015-11-14	Palliative Care SCE
What do the UK ambulance service clinical practice guidelines say about the circumstances in which they can withold CPR?	Card 1	2015-11-14	Palliative Care SCE
In the Cochrane Review 'Insertion of a stent improves symptoms in superior vena cava obstruction caused by lung cancer, while chemotherapy and radiotherapy can also be effective (2001)', what is the effect of steroids?	Card 1	2015-11-14	Palliative Care SCE
In the Cochrane review 'Interventions for the treatment of metastatic extradural spinal cord compression (2008)', what is the proportion of ambulant patients who remain ambulant after radiotherapy?	Card 1	2015-11-14	Palliative Care SCE
What is the time to response of parasympathomimetic drugs for the management of salivary gland dysfunction due to radiotherapy?	Card 1	2015-11-14	Palliative Care SCE
What is the level of evidence for opioids in the treatment of cough in cancer?	Card 1	2015-11-14	Palliative Care SCE
What is the level of evidence for blood transfusion in advanced cancer?	Card 1	2015-11-14	Palliative Care SCE
What is the evidence for the use of drugs in death rattle?	Card 1	2015-11-14	Palliative Care SCE
What is the evidence of the use of calcitonin in metastatic bone pain?	Card 1	2015-11-14	Palliative Care SCE
What is the level of evidence for walking aids and breathing exercises in breathlessness?	Card 1	2015-11-14	Palliative Care SCE
According the DVLA, for how long should a licence holder not drive after an unprovoked seizure in the following?   a) Category 1 licence b) Category 2 licence	Card 1	2015-11-14	Palliative Care SCE
What is the marketing authorisation for tapentadol?	Card 1	2015-11-14	Palliative Care SCE
What groups of patients has melatonin been demonstrated to be most useful?	Card 1	2015-11-14	Palliative Care SCE
What are the effects of anti-androgens such as bicalutamide?	Card 1	2015-11-14	Palliative Care SCE
Apomorphine should be reserved for Parkinson's patients with {{c1::severe motor complications refractory to medication}}	Cloze 1	2015-11-14	Palliative Care SCE
{{c1::Thalamic/subthalamic stimulation}} is considered in Parkinson's patients whose symptoms are {{c2::refractory to best medical therapy}}, and are fit, with {{c3::no mental health problems}}.	Cloze 2	2015-11-14	Palliative Care SCE
In MS for nocturia, {{c1::desmopressin}} can be used.	Cloze 1	2015-11-14	Palliative Care SCE
In MS for the management of spasicity, 1st line is {{c1::baclofen or gabapentin}}, 2nd line is {{c2::tizanadine, diazepam, clonazepam or dantrolene}}.	Cloze 2	2015-11-14	Palliative Care SCE
In MS, beta-interferon/glatiramer is stopped when?	Card 1	2015-11-14	Palliative Care SCE
Treatment for left ventricular failure is 1st line {{c1::ACE inhibitor or ARB if ACE-i intolerant}}.  2nd line {{c2::spironolactone}} (especially if {{c3::NYHF III/IV in the past month}}), {{c4::eplenerone}}, {{c5::ARB}}, if Afro-caribbean - {{c6::hydralazine}}. 3rd line {{c7::digoxin}} if refractory to 1st or 2nd line treatment, {{c8::cardioresynchronisation therapy}}.	Cloze 7	2015-11-14	Palliative Care SCE
In heart failure, {{c1::colchicine}} should be used for acute gout, {{c2::allopurinol}} to prevent acute gout.	Cloze 1	2015-11-14	Palliative Care SCE
In COPD, patients should be assessed for LTOT when their sats are {{c1::<92%}}, their {{c2::FEV1 <30%}} or there is evidence of {{c3::cyanosis}}, {{c4::polycythaemia}}, {{c5::peripheral oedema}} or {{c6::raised JVP}}.	Cloze 2	2015-11-14	Palliative Care SCE
In COPD, patients should be assessed for LTOT when their sats are {{c1::<92%}}, their {{c2::FEV1 <30%}} or there is evidence of {{c3::cyanosis}}, {{c4::polycythaemia}}, {{c5::peripheral oedema}} or {{c6::raised JVP}}.	Cloze 5	2015-11-14	Palliative Care SCE
A person who has to stop for breath after walking ~100m, or after a few minutes on level ground is graded on the MRC breathlessness scale at {{c1::4}}.	Cloze 1	2015-11-14	Palliative Care SCE
In the management of cough in idiopathic pulmonary fibrosis, what do NICE recommend?	Card 1	2015-11-14	Palliative Care SCE
In the management of behaviours which challenge in the context of dementia, BZDs have {{c1::no evidence of benefit}} and may {{c2::increase risk of a fall}}.	Cloze 1	2015-11-14	Palliative Care SCE
In the context of dementia, there is {{c1::no evidence}} that PEG feeding increases survival, improves nutritional status or reduces pressure ulcers.	Cloze 1	2015-11-14	Palliative Care SCE
What is a more accurate calculation of creatinine clearance?	Card 1	2015-11-14	Palliative Care SCE
