"<font color=""#800080"">Causes of pain in palliative care</font>"	Soft tissue<div><br /></div><div>Visceral</div><div><br /></div><div>Nervous</div><div><br /></div><div>Bone</div><div><br /></div><div>Spasm</div><div><br /></div><div>Raised IC pressure</div><div><br /></div><div>Exacerbated by PSYCH, SOCIAl, SPIRITUAL factors</div>
"<font color=""#800080"">Drugs used for SOB</font>"	1) OPIOIDS - 2.5mg-5mg PRN to start<div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; - reduce sensitivity of resp centre and chemoreceptors, reduce pain, reduce anxiety</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;- no evidence for nebulised us<br /><div><br /></div><div>2) ANXIOLYTICS e.g BENZODIAZEPENES - only for anxiety-related SOB</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; - low dose as can decrease resp drive</div><div><br /></div><div>3) OXYGEN - reversal of hypoxia, but studies dont show much benefit</div></div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; - causes dry mouth + potential loss of drive</div>
"<font color=""#800080"">Rx of chronic cough</font>"	Anti-tussives e.g. cough syrup<div><br /></div><div>Local anaesthetics e.g. BUPOVICAINE NEB</div><div><br /></div><div>OPIOIDS suppress reflex</div><div><br /></div><div>Glucocorticoids, ipatropium, neb indomethacin to REDUCE SECRETIONS</div>
"<font color=""#800080"">Definition of constipation</font>"	Difficulty in defaecation (freq is less important - compare with normal habits)<div><br /></div><div>50% incidence</div>
"<font color=""#800080"">Causes of constipation</font>"	Hypercalcaemia<div><br /></div><div>Inactivity&nbsp;</div><div><br /></div><div>Poor nutrition</div><div><br /></div><div>Dehydration (esp if N+V, polyuria, fever)</div><div><br /></div><div>Drugs&nbsp;</div>
"<font color=""#800080"">Drugs causing constipation</font>"	OPIOIDS - acts on mu2 to reduce peristalsis, increase sphincter tone, block H20 secretion<div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;- persist in gut lumen<br /><div><br /></div><div>NSAIDS</div><div><br /></div><div>ANTICHOLINERGICS</div><div><br /></div><div>5HT3 ANTAGONISTS</div><div><br /></div><div>DIURETICS</div></div>
"<font color=""#800080"">Rx of constipation</font>"	1) Softeners - SODIUM DOCUSATE<div><br /></div><div>2) Osmotic - LACTULOSE, MOVICOL</div><div><br /></div><div>3) Stimulants - SENNA&nbsp;</div><div><br /></div><div>4) Bulking - FIBRE gels</div>
"<font color=""#800080"">SEs of constipation Rx</font>"	Osmotics:<div>Lactulose - bloating, cramps</div><div>Movicol - irritating, take with lots of water</div><div><br /></div><div>Stimulants:</div><div>Senna - cramps, avoid in obstruction</div><div><br /></div><div>Fibre -&nbsp;avoid in obstruction</div>
"<font color=""#800080"">What constipation Rx to use</font>"	Soft stool + infrequent = STIMULANT e.g. senna<div><br /></div><div>Hard stool + frequent = OSMOTIC e.g. lactulose or SOFTENER e.g. Na docusate</div><div><br /></div><div>Hard stool + infrequent = STIMULANT + OSMOTIC or SOFTENER</div>
"<font color=""#800080"">Causes of bowel obstruction revision</font>"	LUMINAL:<div>faeces</div><div>gallstones</div><div>foreign body</div><div><br /></div><div>MURAL:</div><div>malignancy</div><div>inflamm. strictures&nbsp;</div><div><br /></div><div>EXTRAMURAL:</div><div>hernias</div><div>adhesions</div><div>intussuception</div>
"<font color=""#800080"">What proportion of Ca pts suffer N+V?</font>"	40-70%<div><br /></div><div>Higher in STOMACH and BREAST Ca</div><div><br /></div><div>F&gt;M</div><div><br /></div><div>Younger&gt;Older</div>
"<font color=""#800080"">What are the reversible causes of N+V and how are they treated?</font>"	Cough - give anti-tussives<div><br /></div><div>Gastritis - reduce acid and remove irritants</div><div><br /></div><div>Constipation - laxatives</div><div><br /></div><div>Increased ICP - steroids</div><div><br /></div><div>Hypercalcaemia - IV fluids, bisphosphonates</div><div><br /></div><div>Ascites - drain</div><div><br /></div><div>Pain - analgesia</div><div><br /></div><div>Anxiety - reassurance + support</div>
"<font color=""#800080"">CYCLIZINE method of action&nbsp;</font>"	ANTICHOLINERGIC - Histamine H1 and ACh receptor antagonist&nbsp;<div><br /></div><div>Slows and dries gut and has a central effect (crosses BBB)</div><div><br /></div><div><br /></div>
"<font color=""#800080"">Dosage and uses of CYCLIZINE</font>"	<div>50mg TDS PO or SC</div><div><br /></div>Useful in:<div>COMPLETE OBSTRUCTION</div><div>RAISED ICP</div><div>VESTIBULAR/ MOTION</div>
"<font color=""#800080"">SEs of CYCLIZINE</font>"	<div>Sedation + Drowsiness</div><div><br /></div>Anti-cholinergic:<div><br /></div><div>Dry mouth</div><div><br /></div><div>Constipation</div><div><br /></div><div>Tachycardia</div><div><br /></div><div>Blurred vision</div><div><br /></div><div>Urinary retention</div><div><br /></div><div>Hypotension</div>
"<font color=""#800080"">METOCLOPROMIDE method of action</font>"	Dopamine and 5HT antagonist<div><br /></div><div>Central effect</div><div><br /></div><div>SPEEDS UP GUT (opposite of cyclizine)</div>
"<font color=""#800080"">Dosage and uses of METACLOPROMIDE</font>"	10mg TDS PO or SC<div><br /></div><div>Good for GASTRIC STASIS, INCOMPLETE OBSTRUCTION, MORPHINE INDUCED, TOXIC</div>
"<font color=""#800080"">SEs of METOCLOPRAMIDE</font>"	Extrapyrimidal effects e.g. akinesia<div><br /></div><div>Diarrohea + colic</div>
"<font color=""#800080"">HALOPERIDOL method of action</font>"	Dopamine antagonist<div><br /></div><div>Only central action - minimal effect on gut</div>
"<font color=""#800080"">Dosage and use of HALOPERIDOL</font>"	1.5mg NOCTE PO or SC (can go higher)<div><br /></div><div>Good for TOXIC or CHEMICAL causes e.g. drugs, Ca2+ or renal failure</div>
"<font color=""#800080"">SEs of HALOPERIDOL</font>"	Extra pyrimidal e.g. parkinsonian, akinesia, dyskinesia
"<font color=""#800080"">Other anti-emetics</font>"	ONDANSETRON - serotonin antagonist for chemo N+V<div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;- constipating</div><div><br /></div><div>DOMPERIDONE - D2 antagonist - prokinetic</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;- safe for parkinsons pts as doesnt cross BBB</div><div><br /></div><div>LEVOMEPROMAZINE - acts on multiple receptors, last resort</div>
"<font color=""#800080"">Can you prescribe two anti-emetics?</font>"	Yes if DIFFERENT method of action<div><br /></div><div>One is sufficient in 2/3rd of pts</div>
"<font color=""#800080"">Causes of spinal cord compression</font>"	Occurs in 5-10% of cancer<div><br /></div><div>BONE METS - breast, lung, prostate account for 50% (also myeloma, NH lymphoma, renal).</div><div><br /></div><div><br /></div>
"<font color=""#800080"">Features of cord compression</font>"	Pain in &gt;90% - radicular band like pain<div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;- predates other symptoms</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; - worse extending neck or coughing</div><div><br /></div><div>Weakness in &gt;75%</div><div><br /></div><div>Sensory level &gt;50% (late)</div><div><br /></div><div>Bladder dysfunction &gt;40% (late)</div><div><br /></div><div>Usually THORACIC (60-80%)</div>
"<font color=""#800080"">Mx of spinal cord compression</font>"	<div><b>MRI within 24hrs</b> if high suspicion</div><div><br /></div>Corticosteroids - <b>DEXAMETHASONE 16mg IV stat then 8mg BD PO</b><div><br /></div><div>Urgent <b>SURGICAL DECOMPRESSION</b> + mechanical stabilisation</div><div>(better than radiotherapy alone, most benefit if single site)</div><div><br /></div><div>Urget <b>RADIOTHERAPY</b> + continue steroids</div><div>(90% ambulatory after DXT if no bony compression)</div>
"<font color=""#800080"">Prognosis of cord compression</font>"	No mobility recovery - 3 MONTHS<div><br /></div><div>If walking after Rx - 5 to 8 MONTHS</div>
"<font color=""#800080"">Definition of malignant hypercalcaemia</font>"	Corrected calcium &gt;2.6mmol/L<div><br /></div><div>Occurs in 10-20% pts with cancer</div><div><br /></div><div>Up to 50% if breast or myeloma</div><div><br /></div><div>Associated with metastatic disease (80%)</div>
"<font color=""#800080"">Pathogenesis of malignant hypercalcaemia</font>"	Cancer secreted parathyroid hormone related protein - PTHrP<div><br /></div><div>Not detectable in the immunoassay for PTH</div><div><br /></div><div>But PTH levels V.LOW</div><div><br /></div><div>Stimulates osteoclastic bone resorption + impairs calcium renal excretion&nbsp;</div>
"<font color=""#800080"">What % of cases of malignant hypercalcaemia are due to skeletal metastases?</font>"	80%
"<font color=""#800080"">Features of malignant hypercalcaemia</font>"	MILD:<div>Polyuria + polydipsia</div><div>Fatigue + lethargy</div><div>Mental dullness</div><div>Anorexia + constipation</div><div><br /></div><div>SEVERE:</div><div>N+V</div><div>Ileus</div><div>Delerium</div><div>Drowsines</div><div>Coma</div><div><br /></div><div>If untreated, Ca &gt;4mmol/L = FATAL</div>
"<font color=""#800080"">Mx of malignant hypercalcaemia</font>"	Treat if &gt;2.8mmol/L and symptomatic/ first episode<div><br /></div><div>1) FLUIDS - IV saline up to 6L/24hrs</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; - promotes calciuresis</div><div><br /></div><div>2) BISPHOSPHONATES - inhibit osteoclasts</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; - dose depends on GFR + Ca2+&nbsp;</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;- PAMIDRONATE 60-90mg IV if GFR normal</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;- onset of effect &lt;3days</div><div><br /></div><div>3) HALOPERIDOL - central anti-emetic</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;- anti-psychotic</div><div><br /></div><div>4) Motility agent for constipation e.g. senna</div>
"<font color=""#800080"">Causes of SVC obstruction</font>"	Extrinsic compression by mets to upper mediastinal lymph nodes<div>- Lung Ca responsible for 80% and occurs in 15% of lung Ca pts</div><div>- Others associated inc. lymphoma, breast, testicular seminoma<br /><div><br /></div><div>Intravascular extension or thrombosis can contribute</div></div>
"<font color=""#800080"">Features of SVC obstruction</font>"	DYSPNOEA<div><br /></div><div>NECK SWELLING</div><div><br /></div><div>TRUNK + ARM SWELLING</div><div><br /></div><div>CHOKING SENSATION</div><div><br /></div><div>THORACIC VEIN DISTENSION</div><div><br /></div><div>FACIAL OEDEMA</div><div><br /></div><div>TACHYOPNEA</div><div><br /></div><div>I LOVE CAPS LOCK SO MUCH</div>
"<font color=""#800080"">Mx of SVC obstruction</font>"	1) DEXAMETHASONE 16mg IV STAT (reduce oedema and extrinsic compression)<div><br /></div><div>2) Then 8mg dexamethasone BD PO</div><div><br /></div><div>3) SVC STENT for severe - but needs anticoagulation first</div><div><br /></div><div>4) RADIOTHERAPY to mediastinum - NSCLC</div><div><br /></div><div>5) CHEMOTHERAPY - SCLC or lymphoma</div>
"<font color=""#800080"">Mx of terminal haemorrhage</font>"	STAY WITH PATIENT<div><br /></div><div>Get dark coloured towels&nbsp;</div><div><br /></div><div>Anticipatory prescription of ANXIOLYTIC e.g. Midazolam 10mg IM/buccal</div>
"<font color=""#800080"">What percentage of people die in hospital?&nbsp;</font>"	Over 50%<div><br /></div><div>2/3rds can be anticipated at least 4hrs before</div>
"<font color=""#800080"">Prevalence of depression in medically ill</font>"	Cancer - outpatients - 5-16%<div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; - inpatients 4-15%</div><div>&nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp; &nbsp;- palliative 7-49%</div>
"<font color=""#800080"">Diagnosis of depression</font>"	5 or more symptoms with at least 1 of either a) or b)<div>Symptoms for at least 2wks, most of day, nearly every day<br /><div><br /></div><div>a) Depressed mood most of day</div><div>b) Diminished interest/ pleasure</div><div>c) Weight/ appetite loss or gain</div><div>d) Insomnia or hypersomnia</div><div>e) Psychomotor retardation or agitation</div><div>f) Fatigue or loss of energy</div><div>g) Worthlessness or guilt</div><div>h) Loss of concentration</div><div>i) Suicidal ideation</div></div>
"<font color=""#800080"">Mx of depression</font>"	1) Accurate diagnosis<div><br /></div><div>2) Assess suicide risk</div><div><br /></div><div>3) Pyschological Rx e.g. CBT</div><div><br /></div><div>4) Medication</div><div><br /></div>
Medication for depression	1st line:<div>SSRI e.g. SERTRALINE, FLUOXETINE, CITALOPRAM</div><div>SEs inc. headache, GI, risk of bleeding</div><div><br /></div><div>2nd line:</div><div>SNRI VENLAFAXINE (affects BP)</div><div>NaSSA MIRTAZAPINE (weight gain, sedative)</div><div>TCA AMITRIPTILLINE (dry mouth, constipation, seizure threshold).&nbsp;</div>
"<font color=""#800080"">Features of delirium</font>"	Disturbed consciousness - reduced awareness, unable to focus, disturbed sleep-wake cycle<div><br /></div><div>Change in cognition - memory deficit, disorientation, perceptual disturbance</div><div><br /></div><div>Develops over SHORT TIME + FLUCTUATES</div><div><br /></div><div>Normally evidence of MEDICAL CAUSE</div>
"<font color=""#800080"">Rx of delirium</font>"	1) Non-pharmalogical:<div>- correct electrolytes, malnutrition or dehydration</div><div>- mobilise</div><div>- correct sensory deficit</div><div>- minimise isolation</div><div><br /></div><div>2) Pharmalogical:</div><div>- review current meds</div><div>- treat pain (dont use opioids for behavioural symptoms</div><div>- low dose HALOPERIDOL 0.5mg-1mg TDS PO if possible, IM if not (avoid if parkinsonian)</div>
Mechanism of action of diabetes drugs	Increases peripheral sensitivity to insulin - metformin/glucophage<div>Stimulates beta cells in the pancreas to secrete more insulin - sulphonylureas (gliclazide/glipizide/glimpiride)</div><div>Inhibits the breakdown of incretin - gliptins (sitaglipin)</div><div>Stimulates insulin secretion via stimulating GLP-1 - exenatide</div>
Mechanism of action of tolvaptan	Selective arginine vasopressor antagonist at the V<sub>2 </sub>receptor<div><br /></div><div>Blocks reabsorption of water in the collecting duct (but not electrolytes)</div>
Risk factors for venous thromboembolism according to NICE	Active cancer or cancer treatment<div>Age &gt;60 years</div><div>Admission to critical care</div><div>Dehydration</div><div>Known thrombophilias</div><div>BMI &gt;30 kg/m<sup>2</sup></div><div>One or more significant medical co-morbidities</div><div>Personal history/1<sup>st </sup>degree relative with VTE</div><div>HRT</div><div>Oestrogen-containing contraceptive therapy</div><div>Varicose veins with phlebitis</div>
What is amitriptyline used for?	Depression<div>Neuropathic pain</div><div>Sweating (anti-muscarinic effect)</div><div>Bladder spasm&nbsp;(anti-muscarinic effect)</div><div>Drooling/sialorrhoea&nbsp;(anti-muscarinic effect)</div><div>Pathological laughing/crying</div>
What is sertraline used for?	SSRI<div>Depression with predominant anxiety picture</div><div>Cholestatic pruiritus</div>
What is Mirtazapine used for?	NaSSA<div>Depression</div><div>Intractable itch (all cause)</div>
Diagnosis of death?	Absence of the following for 5 minutes:<div>- central pulse</div><div>- heart sounds</div><div><br></div><div>Absence of the following after 5 minutes:</div><div>- pupillary light reflex</div><div>- corneal reflexes</div><div>- motor response to supra-orbital pressure</div>
According to the Mental Capacity Act 2007, how is capacity defined?	When making a decision, and given information, the following is satisfied:<div><br><div>1. Ability to understand the information given</div><div>2. Ability to retain information long enough to do 3 and 4</div><div>3. Ability to weigh up the pros and cons of the decision</div><div>4. Ability to communicate the decision.</div><div><br></div><div>Capacity is decision-specific, independent of cognitive ability, and time specific.</div></div>
According to the DPP, what are the public interest factors which trend toward prosecution in assisted suicide?	<div>The victim was:</div><div>- under 18</div><div>- did not have capacity</div><div>- did not seek encouragement or assistance of the suspect</div><div><br></div><div>The suspect was:</div><div>- not wholly motivated by compassion</div><div>- pressured victim to commit suicide</div><div>- gave specific information via a website or publication</div><div>- paid by the victim</div><div>- acting in his or her capacity as a medical doctor, nurse, other AHP, professional carer and the victim was in his/her care</div>
According to the DPP, what are the public interest factors which trend against prosecution for assisted suicide?	<div>The victim:</div><div>- reached a voluntary, clear, settled and informed decision to commit suicide</div><div><br></div><div>The suspect:</div><div>- was wholly motivated by compassion</div><div>- only gave minor encouragement tor assistance</div><div>- The actions of the suspect were reluctant encouragement or assistance in the face of a determined wish of the victim</div><div>- reported the victims suicide to the police and took part in enquiries/investigation</div>
Categories of evidence?	1a Metaanalysis of RCTs<div>1b RCTs</div><div>2a Non randomised controlled studies</div><div>2b Quasi-experimental studies</div><div>3 Non-experimental descriptive studies (comparative, correlation, case studies)</div><div>4 Expert opinion, consensus documents, clinical committees&nbsp;</div>
Grading strength of recommendations?	A: Directly based on Cat1 evidence without extrapolation<div>B:&nbsp;Directly based on Cat2 evidence, or Cat1 with extrapolation</div><div>C:&nbsp;Directly based on Cat3 evidence,&nbsp;or Cat1/2 with extrapolation</div><div>D:&nbsp;Directly based on Cat4 evidence, or Cat1/2/3 with extrapolation. Indicates there are no good studies or no readily available good studies</div>
What is the definition of 'off-label' drugs?	The use of a drug beyond the marketing authorisation specification, i.e. an unauthorised:<div>- specification</div><div>- dose</div><div>- population</div><div>- preparation</div><div>- route</div>
What is the definition of an 'unauthorised drug'?	A drug without a marketing authorisation for use in humans.&nbsp;
What are the NNTs for anticonvulsants in neuropathic pain?	<div>Post-herpetic neuralgia<br></div>- Carbamazapine 2.5<div>- Gabapentin 3.2</div><div><br></div><div>Diabetic neuropathy:</div><div>- Carbamazapine 2.3</div><div>- Gabapentin 3.8</div><div>- Phenytoin 2.1</div>
What is the evidence for opioids for breathlessness?	A small statistically significant effect for a small population of people (Jennings 2007)
What are the NNT for bisphosponates in bone mets?	- 11 at four weeks of therapy<div>- 7 at twelve weeks of therapy</div>
What is the evidence for benzodiazepines in breathlessness	No significant evidence
Itch in palliative care (cochrane review)	- indomethacin for HIV-associated itch<div>- gabapentin and nalfurafine for itch associated with chronic kidney disease</div><div>- rifampicin and flumecinol for itch associated with liver problems</div><div>- Paroxetine may be a drug of general relevance whatever the cause of the itching</div><div>- Cimetidine for Lymphoma-related itch</div>
What is the management of sweating?	1. Antipyretic:<div>- paracetamol</div><div>- NSAID</div><div><br></div><div>2. Antimuscarinic:</div><div>- amitryptilline</div><div>- hyoscine hydrobromide</div><div>- glycopyrronium</div><div><br></div><div>3. Other options:</div><div>- propranolol</div><div>- cimetidine</div><div>- thalidomide (with caution, as it causes painful peripheral neuropathy)</div>
What is the definition of NNT?	<div>Number needed to treat for one person to benefit</div>Inverse of ARR
What is the definition of absolute risk reduction?	The difference between the control group’s event rate (CER) and the experimental group’s event rate (EER).
What is the relative risk reduction?	A measure calculated by dividing the absolute risk reduction by the control event rate.
What are the risk factors for venous thromboembolism?	<div>- Active cancer or cancer treatment</div><div>- Age &gt; 60 years</div><div>- Critical care admission</div><div>- Dehydration</div><div>- Known thrombophilias</div><div>- Obesity (BMI &gt; 30 kg/m2)</div><div>- One or more significant medical comorbidities (for example: heart disease; metabolic, endocrine or respiratory pathologies; acute infectious diseases; inflammatory conditions)</div><div>- Personal history or first-degree relative with a history of VTE</div><div>- Use of HRT</div><div>- Use of oestrogen-containing contraceptive therapy</div><div>- Varicose veins with phlebitis</div>
What is the inital management of delirium tremens according to NICE?	Oral or parentral lorazepam, then haloperidol or olanzapine
What are the findings of the Acupuncture in cancer pain Cochrane review?	"1. RCTs were identified<div>2. Small sample sizes</div><div>3. Generally of poor quality</div><div>4. I<span style=""font-family: 'Source Sans Pro', sans-serif; font-size: 16px; letter-spacing: -0.3px; line-height: 22.4px;"">nsufficient evidence to judge whether acupuncture is effective in relieving cancer-related pain in adults</span></div>"
What are the phases of a clinical trial?	0 -&nbsp;Pharmacodynamics and pharmacokinetics in humans,&nbsp;the trial documents the absorption, distribution, metabolization, and removal (excretion) of the drug, and the drug's interactions within the body, to confirm that these appear to be as expected.<div><br><div>1 -&nbsp;Screening for safety. Generally small groups,to evaluate safety, determine safe dosage ranges, and begin to identify side effects.</div></div><div><br></div><div>2 -&nbsp;Establishing the efficacy of the drug, usually against a placebo.&nbsp;</div><div><br></div><div>3 -&nbsp;Final confirmation of safety and efficacy.</div><div><br></div><div>4 -&nbsp;Sentry studies during sales, after market authorisation. Postmarketing studies delineate additional information, including the treatment's risks, benefits, and optimal use.</div>
What are the contraindications for ketamine?	- Raised intracranial pressure<div>- Uncontrolled hypertension</div><div>- Recent seizures</div><div>- History of psychosis</div><div>- Delirium</div>
